@relation California-housing-19

@attribute Value numeric
@attribute Income numeric
@attribute Median-Age numeric
@attribute Rooms numeric
@attribute Bedrooms numeric
@attribute 'Population ' numeric
@attribute Occupancy numeric
@attribute Latitude numeric
@attribute Longitude numeric

@data
1.61,3.9722,29,4.789796,0.946939,1135,2.316327,37.97,-122.32
1.711,4.6944,26,6.157258,0.991935,1495,3.014113,38.01,-122.32
1.09,2.9781,35,5.565538,1.047128,2493,3.671576,38,-122.33
1.708,4.3333,29,6.023256,1.034884,1687,3.26938,38,-122.31
1.735,4.2852,24,5.447928,1.083987,2315,2.592385,37.99,-122.32
1.628,4.0437,32,5.442584,0.949761,1233,2.949761,38,-122.32
0.851,2.6167,42,4.061008,0.864721,1271,3.371353,37.99,-122.34
1.75,6.0115,3,5.533981,1.056311,1024,1.98835,37.98,-122.33
1.125,3.911,4,4.508455,1.21646,1591,1.793687,37.99,-122.33
2.125,4.125,33,4,0.545455,23,2.090909,38,-122.39
1.042,0.716,39,4.730769,1.096154,316,6.076923,37.96,-122.36
0.804,1.5347,31,4.987069,1.189655,956,4.12069,37.96,-122.36
0.698,1.8333,40,5.037037,1.259259,302,3.728395,37.95,-122.36
0.813,1.6023,35,6.323529,1.323529,100,2.941176,37.95,-122.37
0.764,0.9797,32,4.843284,1.354478,716,2.671642,37.95,-122.37
0.686,0.7403,37,4.491429,1.148571,1046,2.988571,37.96,-122.37
0.675,1.4583,36,2.4,0.6,42,1.68,37.98,-122.41
1.313,3.9773,33,4.716628,0.960187,1354,3.17096,37.98,-122.34
1.329,3.7562,34,5.475219,1.058309,2237,3.260933,37.98,-122.35
1.1,6.0426,19,4.839506,1.345679,287,3.54321,37.97,-122.34
1.136,2.0353,32,4.706856,1.191489,1139,2.692671,37.96,-122.35
1.122,2.5863,43,4.624204,1.023355,1545,3.280255,37.97,-122.35
1.138,3.2188,31,4.5117,1.068643,2104,3.282371,37.97,-122.35
1.341,4.6937,33,5.316667,0.973333,991,3.303333,37.97,-122.32
1.566,4.5,33,5.5311,0.909091,643,3.076555,37.97,-122.32
1.588,3.3125,19,4.421459,1.145923,2548,2.187124,37.97,-122.33
1.501,4.4135,32,5.403846,0.956044,1144,3.142857,37.98,-122.33
1.308,3.5463,45,4.979899,0.944724,1179,2.962312,37.97,-122.33
1.207,2.3382,19,4.059891,1.052632,1438,2.6098,37.97,-122.34
1.294,3.9118,46,4.868526,0.940239,819,3.262948,37.96,-122.33
1.142,2.5164,36,4.181298,1.013359,1563,2.982824,37.96,-122.35
0.972,1.875,29,4.286682,1.182844,1357,3.063205,37.96,-122.35
0.977,2.0724,35,4.494915,1.172881,1023,3.467797,37.96,-122.35
1.103,2.6328,31,4.468978,1.085766,1801,3.286496,37.95,-122.35
0.939,2.5461,34,4.476489,1.050157,1272,3.987461,37.96,-122.35
1.078,1.8664,30,3.392857,1.132143,1073,3.832143,37.96,-122.36
1.337,3.375,25,4.194175,0.978155,934,2.26699,37.96,-122.32
1.828,4.0417,34,7.040816,1.214286,784,2.666667,37.96,-122.32
1.461,2.5769,35,4.870091,1.069486,887,2.679758,37.95,-122.32
1.208,2.1915,22,4.123772,1.117878,1135,2.229862,37.95,-122.33
1.333,2.1991,15,4.158333,1.100641,3408,2.184615,37.96,-122.34
1.036,2.5382,33,4.670951,1.133676,1220,3.136247,37.96,-122.34
1.651,3.7277,38,5.625767,1.067485,1390,2.842536,37.94,-122.32
2.108,5.5196,46,5.400568,0.838068,833,2.366477,37.94,-122.32
1.869,3.9464,40,5.821429,1.086735,434,2.214286,37.93,-122.32
1.446,3.7708,42,5.148734,1.063291,848,2.683544,37.95,-122.33
1.404,2.8833,45,4.715385,1.073077,590,2.269231,37.94,-122.33
1.408,3.5848,47,5.502924,1.055556,797,2.330409,37.94,-122.33
1.416,3.1571,43,4.976127,1.03183,807,2.140584,37.94,-122.33
1.391,3.9417,42,5.07485,1.032934,719,2.152695,37.94,-122.33
1.508,4.0526,44,5.724919,1.074434,828,2.679612,37.94,-122.33
1.341,3.6719,45,4.177778,0.888889,702,2.6,37.95,-122.34
1.358,3.0313,45,4.24933,0.882038,981,2.630027,37.95,-122.33
1.426,4.0927,46,4.791925,1.052795,777,2.413043,37.95,-122.33
1.353,3.0694,44,5.385852,1.019293,806,2.59164,37.95,-122.34
1.334,2.875,44,5.43465,1.118541,933,2.835866,37.95,-122.34
1.351,3.2333,39,5.158442,1.109091,1041,2.703896,37.95,-122.34
1.117,3.2833,38,5.560166,1.236515,766,3.178423,37.95,-122.34
1.116,3.0737,45,4.969838,1,1318,3.058005,37.95,-122.35
1.146,3.6094,42,4.90099,0.957096,971,3.20462,37.95,-122.35
1.047,2.7714,38,4.201613,1.165323,773,3.116935,37.95,-122.36
1.433,3.942,47,5.37907,1.006977,947,2.202326,37.94,-122.34
1.403,2.7391,44,4.406897,1.02069,936,2.151724,37.94,-122.34
1.455,1.681,31,3.919708,1.107056,786,1.912409,37.94,-122.34
1.439,3.125,42,4.968468,1.015766,989,2.227477,37.94,-122.34
1.052,2.3456,45,4.672566,1.090708,1406,3.110619,37.94,-122.35
1.052,1.6571,34,4.454976,1.087678,1358,3.218009,37.94,-122.35
0.956,2.8967,47,4.67033,1.007326,844,3.091575,37.94,-122.35
0.817,1.5139,38,3.727273,0.867133,729,2.548951,37.95,-122.36
0.79,3.0862,45,5.63354,1.167702,479,2.975155,37.94,-122.36
1.058,0.9687,27,3.184906,0.939623,583,2.2,37.94,-122.36
0.729,1.3365,26,4.556213,1.014793,1007,2.97929,37.94,-122.36
0.797,1.822,41,5.608225,1.266234,1638,3.545455,37.94,-122.36
0.716,1.3167,49,4.969231,1.174359,599,3.071795,37.94,-122.37
0.88,1.7865,19,4.221519,1.158228,1048,3.316456,37.93,-122.35
0.843,2.3352,28,4.544419,1.111617,1182,2.692483,37.93,-122.35
0.794,1.6,43,3.324324,0.963964,371,3.342342,37.94,-122.36
1.216,3.05,17,5.49345,1.10917,885,3.864629,37.93,-122.36
0.691,1.0521,40,4.451883,1.112971,912,3.8159,37.94,-122.37
0.379,1.75,45,4.205607,1.009346,1798,2.400534,37.93,-122.37
2.698,5.0524,18,5.18787,1.051775,1224,1.810651,37.91,-122.38
2.745,4.016,47,4.743132,1.070055,1353,1.858516,37.93,-122.42
2.75,3.2875,52,4.052632,0.868421,89,2.342105,37.94,-122.41
0.95,2.1287,30,5.876168,1.123832,1327,3.100467,37.93,-122.34
0.915,1.7257,39,5.068354,1.053165,1166,2.951899,37.93,-122.35
0.861,1.7727,44,4.377315,1.039352,1047,2.423611,37.93,-122.36
0.87,1.9375,42,4.827957,1.045699,1107,2.975806,37.93,-122.36
0.842,0.8641,37,4.074713,1.091954,644,3.701149,37.93,-122.37
0.938,1.125,36,4.440909,1.165909,1437,3.265909,37.91,-122.33
0.94,1.9224,36,3.902542,0.847458,585,2.478814,37.92,-122.35
1.042,1.3929,52,5,0.953488,126,2.930233,37.92,-122.36
1.868,4.2895,4,4.004213,1.120787,1285,1.804775,37.91,-122.35
0.903,2.3475,34,5.274376,1.068027,1356,3.07483,37.93,-122.33
1.115,3.0156,27,4.882353,0.959276,1220,2.760181,37.93,-122.33
0.883,1.4423,32,4.090753,1.116438,1672,2.863014,37.93,-122.34
1.121,2.64,45,4.847495,1.058824,1304,2.840959,37.93,-122.34
1.563,3.2222,41,3.268293,0.914634,198,2.414634,37.93,-122.35
1.406,5.0187,29,5.07489,0.878855,1377,3.03304,37.92,-122.32
1.224,2.2301,26,5.252703,1.052703,2512,3.394595,37.92,-122.33
1.291,3.2674,28,4.878279,1.025184,2606,2.734523,37.92,-122.32
1.196,2.6399,34,4.809009,1.165766,1341,2.416216,37.91,-122.32
1.678,2.7628,39,4.332845,1.020528,1417,2.077713,37.91,-122.31
1.784,3.6417,43,4.827652,0.967803,1060,2.007576,37.91,-122.31
1.778,4.1146,45,5.076326,1.078913,1992,2.576973,37.91,-122.31
2.865,5.3433,39,7.26087,1.075362,872,2.527536,37.93,-122.31
2.534,5.0399,36,5.94802,1.009901,917,2.269802,37.93,-122.31
2.473,5.1067,40,6.35343,1.016632,1103,2.293139,37.93,-122.32
2.677,6.2712,47,6.949091,1.029091,697,2.534545,37.94,-122.32
3.216,6.0677,32,6.421824,0.985342,1524,2.482085,37.92,-122.3
2.882,5.943,35,6.940476,1.047619,235,2.797619,37.92,-122.29
4.01,6.516,32,7.515152,1.012987,602,2.606061,37.92,-122.29
3.04,4.5,34,7.366013,1.166667,715,2.336601,37.93,-122.3
2.619,3.5089,36,5.802281,0.973384,696,2.646388,37.93,-122.31
0.225,2.675,33,4.698413,1.15873,216,3.428571,37.93,-122.32
1.833,2.8456,30,4.970588,1.156863,537,2.632353,37.92,-122.31
2.201,3.724,38,4.480287,0.845878,631,2.261649,37.92,-122.31
1.958,2.5,12,3.651252,1.156069,983,1.894027,37.92,-122.31
1.869,3.3594,22,5.623116,1.105528,565,2.839196,37.92,-122.32
2.122,4.1587,43,5.861496,1.127424,900,2.493075,37.92,-122.31
2.39,4.0804,33,5.666667,0.950877,710,2.491228,37.92,-122.3
2.181,2.7243,31,4.114943,1,681,1.956897,37.91,-122.31
2.004,2.9441,39,4.805009,1.017889,1159,2.073345,37.91,-122.3
2.091,3.6321,40,4.865874,1.047538,1305,2.21562,37.91,-122.3
2.172,2.9219,37,4.599567,1.058442,912,1.974026,37.9,-122.3
2.23,3.4091,41,4.946988,1.048193,873,2.103614,37.9,-122.3
1.417,2.3946,35,3.636964,1.016502,688,2.270627,37.9,-122.3
1.625,2.2672,30,4.05492,1.077803,880,2.01373,37.9,-122.3
3.114,6,36,6.196581,1.004274,568,2.42735,37.92,-122.29
2.632,5.1691,38,6.854497,1.121693,905,2.39418,37.91,-122.29
2.62,4.0536,46,5.889831,0.977401,748,2.112994,37.91,-122.29
2.737,5.5357,40,6.150442,0.970501,796,2.348083,37.91,-122.29
2.349,4.4286,52,5.433538,1.022495,1131,2.312883,37.9,-122.29
3.585,6.5576,38,7.601824,1.057751,805,2.446809,37.91,-122.28
3.337,6.3538,49,6.293886,1.017751,1148,2.2643,37.9,-122.28
2.875,4.1212,52,5.520161,1.004032,490,1.975806,37.9,-122.28
3.244,5.828,41,6.140816,0.983673,1053,2.14898,37.91,-122.28
3.155,6.3669,47,6.52027,1.064189,692,2.337838,37.91,-122.27
3.312,7.3089,48,7.283217,1.041958,685,2.395105,37.91,-122.28
1.094,3.7557,16,6.28211,1.100917,1259,2.887615,41.8,-124.17
0.858,1.9797,19,5.589958,1.154812,1298,2.715481,41.8,-124.3
0.732,2.4805,11,6.59499,1.286013,1343,2.803758,41.75,-124.23
0.684,2.5795,17,5.349304,1.11592,1947,3.009274,41.77,-124.21
0.746,1.6654,15,4.90625,1.115625,1645,2.570313,41.78,-124.19
0.783,1.7038,28,4.598775,1.070444,1530,2.343032,41.73,-124.22
0.669,2.0074,20,5.284327,1.09154,1993,2.764216,41.75,-124.21
1.059,2.4605,20,5.200389,1.046693,1282,2.494163,41.76,-124.17
0.695,2.1829,15,5.122642,1.073585,1532,2.890566,41.74,-124.16
1.224,2.275,21,5.45749,1.17004,1208,2.445344,41.95,-124.14
0.75,2.1336,19,5.893993,1.144876,841,2.971731,41.92,-124.16
1.036,3.0313,17,5.870614,1.164474,1244,2.72807,41.84,-124.3
1.031,2.2868,17,5.6,1.073504,3546,6.061538,41.81,-124.15
1.527,2.9688,22,5.987261,1.146497,743,2.366242,41.68,-123.91
1.167,3.13,18,5.829457,1.383721,660,2.55814,41.88,-123.83
0.711,2.0202,22,5.851703,1.274549,1382,2.769539,41.54,-123.92
2.125,1.5536,20,5.690196,1.513725,467,1.831373,38.96,-119.94
1.875,2.625,8,23.888889,5.944444,36,2,38.95,-119.95
0.875,2.02,22,3.933086,1.30855,851,3.163569,38.95,-119.95
0.922,1.7245,21,5.796034,1.643059,952,2.696884,38.95,-119.95
0.913,2.32,25,4.517677,1.353535,1134,2.863636,38.95,-119.94
1.734,2.5875,24,9.775785,2.318386,755,3.38565,38.94,-119.95
2,2.4917,27,38.840909,9.272727,97,2.204545,38.94,-119.93
0.846,1.9667,26,8.25,1.855556,406,2.255556,38.94,-119.97
1.072,3.1806,24,7.925926,1.712963,388,3.592593,38.93,-119.97
1.148,3.5417,25,7.143275,1.298246,868,2.538012,38.96,-119.98
1.316,2.2589,19,7.601064,1.553191,585,3.111702,38.94,-119.96
1.042,1.8906,27,5.874016,1.547244,717,2.822835,38.94,-119.96
1.105,2.83,22,5.654244,1.308489,1215,2.515528,38.93,-119.96
1.368,4.6,24,13.104167,2.25,235,2.447917,38.92,-119.94
1.097,1.9018,25,6.114155,1.497717,503,2.296804,38.94,-119.98
0.993,4.0417,23,10.639456,2.027211,339,2.306122,38.94,-119.98
1.036,3.1625,24,6.572973,1.562162,421,2.275676,38.94,-119.99
1.185,3.0806,22,8.88604,1.823362,786,2.239316,38.94,-119.99
1.419,2.9091,23,6.794224,1.494585,673,2.429603,38.93,-119.99
0.858,2.3281,28,5.881773,1.339901,494,2.433498,38.93,-119.98
0.904,2.6607,25,5.584071,1.29646,534,2.362832,38.93,-119.98
0.869,3.15,27,6.721805,1.518797,1010,2.531328,38.92,-119.98
0.896,2.0708,28,6.371041,1.411765,522,2.361991,38.92,-119.98
3.134,3.9722,17,20.900783,3.608355,999,2.608355,38.93,-120
1.261,2.996,22,7.247059,1.435294,1045,2.458824,38.93,-120.01
1.266,3.3295,17,6.144444,1.15,466,2.588889,38.92,-120
1.036,3.5,26,6.373494,1.39759,191,2.301205,38.92,-120
0.961,1.7188,23,4.868687,1.242424,485,2.449495,38.92,-120.01
1.042,2.675,25,6.323741,1.284173,689,2.478417,38.92,-120.01
1.072,2.2056,22,6.478788,1.493939,829,2.512121,38.91,-120.02
1.019,3.2396,24,7.907285,1.629139,414,2.741722,38.92,-120.02
0.944,2.0938,27,6.769231,1.335664,283,1.979021,38.91,-120.01
0.867,1.9851,17,5.47495,1.220441,1005,2.014028,38.91,-120.01
1.008,3.0089,24,5.939502,1.501779,589,2.096085,38.89,-120.01
1.141,1.9727,21,5.366883,1.36039,737,2.392857,38.9,-120
1.078,2.7457,17,11.183267,2.10757,675,2.689243,38.88,-119.99
1.347,3.5,16,9.308383,1.712575,885,2.649701,38.9,-119.98
1.625,5.0718,15,11.679878,1.905488,984,3,38.91,-119.92
1.276,4.225,12,9.979167,1.861111,395,2.743056,38.87,-120
1.097,3.5714,17,9.418685,1.771626,828,2.865052,38.84,-119.96
1.214,4.3333,15,11.024561,2.168421,725,2.54386,38.76,-120.02
1.177,3.7891,16,10.375479,1.842912,712,2.727969,38.86,-120.04
1.188,3.8333,15,9.053571,1.75,918,2.732143,38.89,-120.03
0.976,3.017,19,8.096667,1.53,883,2.943333,38.86,-120.02
0.875,2.875,22,16.883562,3.691781,381,2.609589,39.06,-120.13
1.26,4.0313,18,15.813953,3.116279,350,2.713178,39.04,-120.16
2.063,4.975,16,56.269231,10.153846,54,2.076923,39.01,-120.16
4.375,4.0714,19,61.8125,11,112,2.333333,39.01,-120.06
5.00001,1.875,33,141.909091,25.636364,30,2.727273,38.91,-120.1
1.722,4.8311,7,6.365103,1.049853,1978,2.900293,38.91,-120.97
1.634,3.93,11,6.474265,1.145221,1456,2.676471,38.81,-121.04
1.132,3.7625,10,8.442105,1.852632,540,2.842105,38.94,-120.72
1.273,2.902,15,5.609262,1.125904,1960,2.836469,38.91,-120.88
1.286,3.2027,11,5.276074,1.058282,850,2.607362,38.86,-120.92
1.282,2.8562,12,5.782493,1.122016,1070,2.838196,38.83,-120.87
1.326,3.1635,11,5.16129,1.153226,609,2.455645,38.81,-120.84
1.193,2.9444,17,5.365672,1.208955,675,2.518657,38.89,-120.81
1.185,1.7222,15,5.748954,1.217573,709,2.966527,38.83,-120.79
1.201,3.4688,8,5.811146,1.482972,884,2.736842,38.85,-120.71
0.875,4.9583,10,5.0625,2.5625,55,3.4375,38.87,-120.5
0.955,0.9227,11,37,8.207547,113,2.132075,38.9,-120.3
2.133,4.7083,15,7.918058,1.078907,1949,2.957511,38.68,-121.09
2.396,6.844,10,7.504505,0.993994,1040,3.123123,38.67,-121.08
1.734,4.6394,22,6.806691,1.018587,813,3.022305,38.66,-121.07
2.289,6.314,9,8.146896,1.068838,5001,3.073755,38.7,-121.06
2.175,5.3344,12,7.594235,1.217295,1357,3.008869,38.58,-121
1.975,4.7276,7,6.173828,1.021484,2957,2.887695,38.73,-121.01
1.725,4.1163,5,5.969854,1.116424,2651,2.755717,38.69,-120.99
1.989,4.5246,4,6.940845,1.084507,3096,2.907042,38.66,-121.02
1.879,5.4413,8,6.795297,1.029046,2005,2.773167,38.67,-120.99
1.866,5.584,13,7.302128,1.097872,1286,2.73617,38.67,-120.98
1.633,3.225,9,5.557641,1.08311,916,2.455764,38.66,-120.98
1.769,3.2964,5,5.344444,1.01,2242,2.491111,38.68,-120.98
2.171,5.2032,10,6.277064,1.033028,1689,3.099083,38.69,-120.95
1.808,3.9036,11,6.155263,1.147368,1062,2.794737,38.66,-120.96
3.006,4.0714,9,6.679279,1.084685,1601,2.884685,38.65,-120.97
1.701,4.5568,12,6.304843,1.094017,1097,3.125356,38.65,-120.93
2.076,4.1843,12,6.330084,1.041783,2033,2.831476,38.62,-120.91
2.028,4.3981,12,6.280464,1.119923,1459,2.82205,38.79,-120.95
1.963,5.5111,9,6.536657,1.041056,788,2.31085,38.77,-120.93
2.306,4.835,11,6.515513,1.02506,2645,3.156325,38.73,-120.91
1.674,4,13,6.409524,1.119048,1302,3.1,38.71,-120.87
1.846,4.825,11,6.411392,1.189873,410,2.594937,38.77,-120.84
1.461,2.5625,15,5.341463,1.045296,674,2.348432,38.75,-120.86
1.283,2.2269,17,5.020436,1.055858,1714,2.33515,38.74,-120.83
1.426,2.8807,17,5.724289,1.076586,1158,2.533917,38.73,-120.84
1.205,2.5104,38,5.679887,1.090652,882,2.498584,38.73,-120.81
1.113,2.1603,28,4.808173,0.99546,2008,2.279228,38.74,-120.78
1.216,2.3314,29,4.87905,1.041037,1099,2.37365,38.74,-120.81
1.485,2.6392,21,6.221631,1.074468,1576,2.794326,38.76,-120.76
1.083,1.5625,17,3.657143,0.921429,314,2.242857,38.73,-120.76
1.279,2.9844,31,5.30102,1.047619,1606,2.731293,38.73,-120.78
1.286,2.7273,42,4.926641,1.003861,799,3.084942,38.73,-120.81
1.509,3.6406,19,6.314735,1.097282,1865,2.668097,38.72,-120.78
1.381,2.1682,35,5.26,1.0075,1060,2.65,38.76,-120.67
1.587,2.9,19,6.183511,1.143617,967,2.571809,38.75,-120.7
1.413,2.9219,17,6.11396,1.128205,862,2.45584,38.73,-120.71
1.412,4.03,15,6.053371,1.106742,857,2.407303,38.77,-120.58
1.087,2.3583,21,5.206897,1.272727,789,2.473354,38.77,-120.58
1.069,3.0217,22,4.983871,1.100806,615,2.479839,38.76,-120.6
0.947,1.7266,21,5.173653,1.248503,731,2.188623,38.76,-120.59
1.175,2.7201,17,5.626118,1.110912,1432,2.561717,38.75,-120.63
1.517,4.0709,13,6.119891,1.118529,2093,2.851499,38.69,-120.7
1.402,4.0675,11,6.538571,1.194286,1944,2.777143,38.73,-120.63
1.322,4.0197,10,6.84582,1.248643,2597,2.819761,38.71,-120.62
1.317,3.0789,14,6.845865,1.18797,769,2.890977,38.68,-120.63
1.366,3.9812,9,7.191388,1.291866,1102,2.636364,38.75,-120.54
1.338,2.5865,14,6.693364,1.430206,1226,2.805492,38.6,-120.76
1.264,2.5042,19,5.739958,1.260042,1301,2.750529,38.61,-120.66
1.188,2.6833,8,5.439024,1.128049,427,2.603659,38.57,-120.72
1,3.6125,15,5.917808,1.191781,208,2.849315,38.53,-120.59
0.98,3.5192,9,8.747475,1.845118,796,2.680135,38.61,-120.44
1.156,3.5667,13,34.84375,7.96875,86,2.6875,38.71,-120.32
1.625,4.625,34,132.533333,34.066667,36,2.4,38.8,-120.08
1.707,4.0827,8,5.484751,0.969502,1703,2.733547,38.58,-120.88
2.083,5.7373,12,5.659483,0.99569,731,3.150862,38.63,-120.84
1.188,3.0565,14,5.696065,1.070556,3952,2.68114,38.67,-120.81
1.559,3.5511,17,6.233871,1.155914,1126,3.026882,38.65,-120.76
1.414,3.4872,18,5.408759,1.000912,2697,2.460766,38.69,-120.85
1.385,2.3319,13,5.456121,1.12026,2243,2.430119,38.7,-120.79
0.567,2.101,51,5.311111,1.088889,662,3.677778,36.73,-119.81
0.496,1.372,47,4.030675,1.276074,1155,3.542945,36.73,-119.81
0.475,1.5625,36,4.157534,1.061644,483,3.308219,36.74,-119.81
0.475,1.975,52,2.8,0.7,193,4.825,36.73,-119.79
0.448,1.7011,45,4.057018,1.013158,797,3.495614,36.73,-119.8
0.504,0.9513,43,3.727536,1.043478,972,2.817391,36.72,-119.8
0.567,1.5833,46,5.81893,1.102881,902,3.711934,36.72,-119.81
0.592,2.2206,50,4.622754,1.161677,606,3.628743,36.73,-119.81
0.53,2.1518,44,5.144357,1.031496,1286,3.375328,36.73,-119.77
0.477,1.4427,43,4.520513,0.997436,1623,4.161538,36.72,-119.77
0.433,1.2344,52,5.316602,1.23166,1280,4.942085,36.73,-119.78
0.526,1.7829,45,4.7,1.047826,821,3.569565,36.73,-119.77
0.469,1.5227,39,4.205882,1.084967,1386,4.529412,36.75,-119.77
0.939,1.5547,20,4.187359,1.171558,1091,2.462754,36.74,-119.77
0.903,2.5045,15,4.103933,1.16573,924,2.595506,36.74,-119.78
0.5,1.2375,35,4.459916,1.067511,2050,4.324895,36.75,-119.78
0.564,1.2813,31,3.627907,0.979328,1515,3.914729,36.75,-119.78
0.396,1.0513,35,2.951557,1.024221,1228,4.249135,36.74,-119.79
0.75,2.1094,52,2.059524,1.035714,401,4.77381,36.74,-119.79
0.518,0.799,25,3.645435,1.150743,1343,2.85138,36.74,-119.8
0.612,1.3527,41,3.711409,1.042506,1391,3.111857,36.75,-119.8
0.467,1.123,33,3.736407,1.104019,3530,4.172577,36.75,-119.79
0.438,1.8967,52,5,1.04918,406,3.327869,36.74,-119.82
0.526,1.6435,25,5.070727,1.037328,1642,3.225933,36.72,-119.82
0.541,2.6176,17,5.361345,1.016807,927,3.894958,36.72,-119.82
0.621,2.4137,21,5.386076,1.132911,1347,4.262658,36.73,-119.83
0.675,4.35,28,4.615385,0.769231,46,3.538462,36.72,-119.83
0.739,2.4167,43,4.733333,1.08,233,3.106667,36.71,-119.83
0.53,1.25,19,4.671196,1.0625,1369,3.720109,36.72,-119.79
0.535,2.0043,29,4.923323,0.929712,1007,3.217252,36.71,-119.8
0.528,1.5625,25,5.606557,1.20765,789,4.311475,36.71,-119.81
0.485,1.0481,19,4.181818,1.053292,1171,3.670846,36.72,-119.8
0.578,1.0472,15,5.088,1.112,1383,3.688,36.72,-119.8
0.495,1.3922,23,5.076246,1.064516,1210,3.548387,36.7,-119.79
0.513,1.3304,28,5.64539,1.078014,962,3.411348,36.7,-119.8
0.525,1.2404,52,4.757576,0.863636,178,2.69697,36.7,-119.81
0.344,2.1458,22,3.078261,1.052174,530,4.608696,36.72,-119.78
0.441,1.3047,41,5.638989,1.162455,927,3.34657,36.72,-119.79
0.453,1.3587,35,5.18799,1.028721,1233,3.219321,36.71,-119.78
0.618,2.1905,17,4.797386,1.021242,5034,4.112745,36.71,-119.74
0.444,1.5611,29,4.462916,1.127877,1530,3.913043,36.71,-119.76
0.606,2.875,24,5.344828,1.142241,1035,4.461207,36.72,-119.76
0.498,1.4577,38,3.981183,0.948925,1543,4.147849,36.71,-119.75
0.508,2.3269,34,4.494624,0.97491,1056,3.784946,36.73,-119.74
0.585,2.1304,25,5.44856,1.155007,2863,3.927298,36.72,-119.74
0.608,1.3343,22,3.685585,0.975028,4179,4.743473,36.72,-119.75
0.526,1.8723,46,5.044944,1.05618,854,3.198502,36.73,-119.76
0.455,1.4419,39,4.554252,1.064516,1449,4.249267,36.73,-119.76
0.521,1.6325,39,4.272388,1.005597,1685,3.143657,36.73,-119.75
0.5,2.0536,42,4.735632,1.042146,946,3.624521,36.73,-119.74
0.931,4.7463,6,6.094937,0.958861,965,3.053797,36.75,-119.69
1.203,2.7813,19,5.310476,1.169524,1365,2.6,36.74,-119.67
0.625,1.5449,17,4.531599,1.111524,1563,2.905204,36.74,-119.69
0.931,4.0027,13,5.785185,1.009877,1347,3.325926,36.75,-119.69
1.179,4.9196,27,6.184783,0.906522,1219,2.65,36.73,-119.67
1.717,7.2211,30,6.413158,0.918421,1005,2.644737,36.73,-119.69
1.216,3.5128,23,5.177778,0.950617,911,2.249383,36.74,-119.69
1.083,4.4583,25,7.830986,1.112676,249,3.507042,36.71,-119.69
1.538,2.6875,31,5.657718,0.939597,453,3.040268,36.72,-119.67
2.25,1.4007,7,4.466425,1.174229,1587,2.880218,36.73,-119.73
0.659,1.4646,9,4.514151,1.158019,1116,2.632075,36.73,-119.72
1.272,6.8162,15,7.383621,1.060345,766,3.301724,36.72,-119.72
0.895,0.6991,26,2.669021,1.014127,1660,1.675076,36.72,-119.73
0.542,2.2437,9,4.114213,1.086294,678,1.720812,36.73,-119.73
1.514,5.2608,19,7.092857,1.044643,1586,2.832143,36.73,-119.71
0.916,3.0179,7,5.792453,1.091981,1350,3.183962,36.71,-119.72
0.704,2.0294,15,5.573201,1.131514,1190,2.952854,36.72,-119.73
0.493,1.7986,32,3.647343,0.990338,681,3.289855,36.68,-119.73
0.883,2.1563,36,6.042194,1.135021,836,3.527426,36.69,-119.69
0.742,1.8355,29,4.487365,1.126354,836,3.018051,36.68,-119.76
0.923,3.9211,20,5.582222,0.997778,1464,3.253333,36.65,-119.67
1.104,3.4107,33,5.954023,1.04023,620,3.563218,36.64,-119.63
0.58,1.6607,6,4.664251,1.019324,1344,3.246377,36.62,-119.65
0.653,3.0139,39,5.175732,1.07113,638,2.669456,36.63,-119.68
0.895,2.9013,19,6.090909,1.107656,1257,3.007177,36.65,-119.74
0.612,1.6602,31,3.952607,1.085308,616,2.919431,36.62,-119.68
0.928,3.5781,35,6.246246,1.096096,1026,3.081081,36.62,-119.73
0.926,3.3438,31,5.404181,1.031359,1058,3.686411,36.59,-119.73
0.667,2.1691,31,5.322115,1.038462,1326,3.1875,36.68,-119.8
0.684,2.77,27,5.810427,1.137441,706,3.345972,36.65,-119.78
0.96,2.2466,30,5.277259,0.971963,1008,3.140187,36.64,-119.82
0.742,1.7692,34,5.560197,1.039312,1184,2.909091,36.65,-119.8
0.813,2.6146,43,5.634409,1,302,3.247312,36.73,-119.89
0.679,2.0658,30,5.28,1.053333,984,3.28,36.72,-119.87
0.783,2.5809,32,5.479705,0.99262,867,3.199262,36.7,-119.89
0.967,3.5375,35,6.543956,1.043956,537,2.950549,36.74,-119.85
0.72,1.4817,6,4.443645,1.134293,1397,3.35012,36.77,-119.84
0.673,1.976,15,5.190852,1.217666,1738,2.741325,36.76,-119.83
0.488,2.0781,41,4.798122,0.981221,741,3.478873,36.75,-119.82
0.571,1.575,34,4.376384,1.107011,774,2.856089,36.75,-119.84
0.556,1.3929,33,3.657459,1.01105,607,3.353591,36.75,-119.83
0.679,2.9306,48,5.083951,0.958025,834,2.059259,36.76,-119.81
0.542,2.2029,51,5.678404,1.140845,1284,3.014085,36.76,-119.81
0.551,1.7636,52,5.175637,1.008499,855,2.422096,36.75,-119.81
0.669,1.8971,41,5.261333,1.064,1107,2.952,36.76,-119.82
0.685,1.4028,46,4.04797,1.038745,924,1.704797,36.76,-119.82
0.692,1.6429,52,4.751282,1.120513,764,1.958974,36.76,-119.8
0.584,1.7298,52,4.277512,1.074163,1156,2.76555,36.75,-119.8
0.571,2.4375,52,5.019608,0.985994,1049,2.938375,36.76,-119.81
0.784,2.3952,52,5.477833,1.029557,832,2.049261,36.76,-119.8
