STATE,D,E,F,G,H,J,K,L,M,N,O,STATUS
MA,1981,1541,514,1927,1084,12500,6200,375,73,16.8,8707,PRIVATE
MA,3466,2330,640,3095,1533,13800,5510,630,87,17.5,10941,PRIVATE
MA,1975,1516,712,2223,304,11550,6990,400,15,10.2,9719,PRIVATE
MA,20192,13007,3810,14971,3113,18420,6810,475,80,11.9,16836,PRIVATE
MA,443,330,151,453,42,14080,6270,500,57,10.2,15387,PRIVATE
MA,4186,2743,740,2819,62,19380,6750,410,90,9.8,17150,PRIVATE
MA,2887,2059,457,1928,296,17500,4200,500,94,10.5,11951,PRIVATE
MA,245,208,125,544,436,11800,4765,450,71,11.3,8952,PRIVATE
MA,2994,1691,659,2675,22,18000,6300,400,92,11.3,12138,PRIVATE
MA,1224,936,283,891,332,13600,5450,600,39,8.7,11992,PRIVATE
MA,516,409,200,1238,30,8770,3500,450,58,17.3,6430,PRIVATE
MA,674,565,282,1151,39,12200,4070,400,73,14.2,9226,PRIVATE
MA,13865,2165,1606,6862,320,18485,6410,500,97,9.9,37219,PRIVATE
MA,618,540,171,470,59,11475,6200,600,32,9.1,10066,PRIVATE
MA,244,198,82,1134,336,11700,5300,550,71,27.8,8694,PRIVATE
MA,3986,3026,1093,5740,4182,9838,4164,500,81,16.1,7607,PUBLIC
MA,6411,2140,1078,4481,28,20100,5975,725,99,10.1,33541,PRIVATE
MA,4915,3340,1064,5356,1502,5542,3991,500,73,17.1,4666,PUBLIC
MA,1563,1005,240,1380,136,5542,4330,500,65,14.2,6562,PUBLIC
MA,3973,3168,1334,5625,3416,5542,3514,375,55,21,4386,PUBLIC
MA,3100,2150,825,3234,941,5542,3788,500,75,15.7,4222,PUBLIC
MA,2197,1515,543,3089,2029,6797,3900,500,60,21,4469,PUBLIC
MA,1800,1314,526,1891,40,19300,5700,750,79,9,18359,PRIVATE
MA,4750,4041,795,1501,334,9810,6890,300,32,13.5,5025,PRIVATE
MA,11901,8492,2517,11160,10221,13380,7425,600,73,12.9,9563,PRIVATE
MA,354,323,125,372,28,15190,6480,400,46,8.9,14795,PRIVATE
MA,427,385,143,581,533,12700,5800,450,81,10.3,11758,PRIVATE
MA,1003,782,295,1144,160,16160,6950,500,74,8.9,14086,PRIVATE
MA,2925,1598,632,2479,95,18820,6390,500,85,10.3,21199,PRIVATE
MA,3347,2597,1006,4664,1630,6919,4500,500,74,15,7462,PUBLIC
MA,3646,2300,585,2022,926,12170,6172,480,79,13,7495,PRIVATE
MA,14438,12414,3816,16282,1940,8566,3897,500,88,16.7,10276,PUBLIC
MA,2895,1249,579,2195,156,18345,5995,500,94,10.6,21409,PRIVATE
MA,1650,1471,409,1803,1116,8994,5500,498,74,15.4,8409,PRIVATE
MA,1738,1373,417,1335,30,18460,5970,700,92,13.2,22704,PRIVATE
MA,399,335,161,736,29,13472,5528,400,74,9.6,12113,PRIVATE
MA,4186,1245,526,1988,29,19629,5790,500,94,9,22014,PRIVATE
MA,2768,2314,682,2802,86,15884,5370,530,92,15.2,10774,PRIVATE
MA,1480,1257,452,2961,572,9850,6050,850,10,15.4,17858,PRIVATE
MD,100,90,35,282,331,8400,2812,300,10,12.1,7976,PRIVATE
MD,1643,882,407,2179,1089,4869,4075,600,57,22,7848,PUBLIC
MD,457,356,177,667,1983,11180,5620,600,64,11.5,7477,PRIVATE
MD,1301,957,101,514,466,9500,3450,700,47,13.9,9431,PRIVATE
MD,1478,723,381,1863,775,5000,4540,500,69,16.3,7160,PUBLIC
MD,2916,2167,911,4147,449,5428,4390,700,78,17.8,5491,PUBLIC
MD,1151,813,248,850,80,15588,6174,500,78,9.2,16623,PRIVATE
MD,699,565,176,710,399,13960,6040,450,82,14.4,12434,PRIVATE
MD,8474,3446,911,3566,1569,18800,6740,500,96,3.3,56233,PRIVATE
MD,4076,3137,738,3010,184,12990,6300,600,86,14.7,9448,PRIVATE
MD,5892,3034,1358,4517,745,4136,4640,550,80,18.2,6867,PUBLIC
MD,4216,2290,736,4296,1027,5130,4690,600,73,17.9,5125,PUBLIC
MD,6151,3837,1215,9247,3584,5166,4480,660,76,17.6,5401,PUBLIC
MD,14292,10315,3409,19340,3991,8723,5146,550,89,18.1,9021,PUBLIC
MD,4269,2594,985,6476,2592,8594,4408,494,82,18.4,7618,PUBLIC
MD,1600,1016,508,2067,199,7014,3580,500,56,17.8,5191,PUBLIC
MD,1209,942,214,822,46,15276,5318,500,79,11.2,10830,PRIVATE
MD,1205,984,278,1071,98,14510,5340,500,84,12.5,10026,PRIVATE
ME,461,381,235,974,503,6600,3630,400,67,15.2,6408,PUBLIC
ME,3356,1019,418,1490,8,19030,5885,1495,93,11.2,20447,PRIVATE
ME,2848,1319,456,1720,35,18930,5590,500,83,10.2,15954,PRIVATE
ME,1208,803,438,1906,344,6810,3970,450,67,15.9,5712,PUBLIC
ME,225,168,104,467,174,4800,3395,500,65,15,5632,PUBLIC
ME,723,652,361,951,706,7800,4000,350,36,22,4923,PRIVATE
ME,1209,750,265,820,159,11450,5045,900,72,11.4,9718,PRIVATE
ME,356,312,139,388,412,8850,4450,600,29,21.8,5001,PRIVATE
ME,5260,4589,1741,7366,1795,7975,4385,500,93,14.5,7379,PUBLIC
ME,441,369,172,633,317,6600,3680,600,46,15.1,5935,PUBLIC
ME,456,409,185,458,25,9550,4750,400,45,11.4,6145,PRIVATE
MI,1428,1097,336,1036,99,11250,3750,400,53,12.9,8735,PRIVATE
MI,1899,1720,489,1594,32,13868,4826,450,89,13.7,11487,PRIVATE
MI,1267,1080,385,1306,28,12572,4552,400,79,15.3,9305,PRIVATE
MI,1130,704,322,1586,326,9996,3090,900,62,11.5,10908,PRIVATE
MI,619,516,219,1251,767,11208,4124,350,55,12.7,6584,PRIVATE
MI,1784,1512,913,3401,136,10230,3710,400,75,14.8,7786,PRIVATE
MI,7304,6263,2539,13244,1396,6660,3836,600,66,20.4,6965,PUBLIC
MI,260,195,139,235,307,5519,2400,500,85,12.9,8336,PRIVATE
MI,6693,5423,2242,13142,6421,6360,4031,600,74,20.6,5955,PUBLIC
MI,8671,5855,3395,8996,1901,6911,4171,590,38,18.2,6467,PUBLIC
MI,5165,3887,1561,8234,2619,6108,3800,500,64,20.6,5063,PUBLIC
MI,920,745,347,1133,42,11090,4700,400,80,12,12639,PRIVATE
MI,1712,1483,624,2505,208,12275,4341,465,72,12.5,9284,PRIVATE
MI,867,695,312,2176,2063,6759,2250,700,40,15.8,4727,PRIVATE
MI,440,391,231,1367,2662,5040,4152,395,54,14.7,5518,PRIVATE
MI,18114,15096,6180,26640,4120,10658,3734,504,93,14,10520,PUBLIC
MI,2618,2288,1032,5524,414,8127,3978,900,82,17,7473,PUBLIC
MI,1406,1169,522,2432,592,6456,4186,500,47,19.9,4310,PUBLIC
MI,4519,3844,1432,6261,1634,3880,3908,400,59,22,6886,PUBLIC
MI,3041,2581,1173,6441,3982,9114,4030,400,88,19.7,6637,PUBLIC
MI,620,565,296,766,58,10500,3500,550,53,16,6395,PRIVATE
MI,1549,1349,687,3598,2147,5673,3650,550,77,18.2,5391,PUBLIC
MI,464,419,183,686,287,9240,3880,475,29,7.2,9431,PRIVATE
MI,372,362,181,1501,353,8600,3550,385,48,15.4,10938,PRIVATE
MI,927,731,415,2149,2217,11130,3996,600,72,13.5,10891,PRIVATE
MI,4219,3098,1543,9778,10455,7162,3271,468,85,10.9,10538,PUBLIC
MI,9167,7191,2738,15739,4278,6940,4100,500,80,24.7,5983,PUBLIC
MI,601,396,203,525,323,11230,6643,2340,8,6.8,13025,PRIVATE
MI,1093,998,285,1650,5180,9450,4385,600,33,91.8,5568,PRIVATE
MI,19152,12940,4893,22045,1339,15732,4659,476,90,11.5,14847,PUBLIC
MN,662,513,257,2074,726,11902,4372,540,65,12.8,7836,PRIVATE
MN,1208,877,546,3796,824,4425,2700,660,57,19.6,3752,PUBLIC
MN,2694,1579,489,1870,12,19292,3957,550,81,10.4,17960,PRIVATE
MN,938,864,511,1715,103,12247,4221,500,70,13.1,8847,PRIVATE
MN,511,411,186,1692,562,12224,4440,450,63,11.5,7315,PRIVATE
MN,672,596,278,1350,275,11844,3696,450,54,11.6,8996,PRIVATE
MN,2057,1807,828,4106,982,11712,4037,500,80,13.8,8546,PRIVATE
MN,281,266,139,1049,181,10500,3750,450,69,12.8,6955,PRIVATE
MN,1709,1385,634,2281,50,14125,3600,400,79,12.5,9907,PRIVATE
MN,1006,825,328,1362,102,13252,4194,450,89,13,10296,PRIVATE
MN,2939,1496,452,1723,113,15909,4772,500,85,11.9,14213,PRIVATE
MN,3073,2672,1547,9649,1792,4300,2643,450,57,19,5801,PUBLIC
MN,2442,2164,1189,5983,1075,4426,2664,600,76,18.1,4795,PUBLIC
MN,699,601,352,1209,33,11328,3003,400,45,14.5,9672,PRIVATE
MN,1047,938,511,2091,546,4285,2750,600,58,16.5,6591,PUBLIC
MN,3971,3306,1921,11493,2206,4259,2625,350,70,18.9,4629,PUBLIC
MN,2248,1673,745,2888,105,14350,3750,550,82,10,12502,PRIVATE
MN,4192,3126,1656,5887,1254,8828,3474,753,79,19,6393,PUBLIC
MN,1458,874,588,1846,154,9843,3180,600,74,14.6,6716,PUBLIC
MN,3325,2047,1301,5800,872,4200,2700,300,53,20.2,5318,PUBLIC
MN,11054,6397,3524,16502,21836,8949,3744,714,88,12.2,16122,PUBLIC
MO,373,298,86,651,490,8950,3800,500,57,10.6,6639,PRIVATE
MO,633,504,210,920,148,7780,3370,600,50,15.1,6850,PRIVATE
MO,4681,4101,1436,8094,1596,4620,3288,300,69,19.7,5501,PUBLIC
MO,314,158,132,690,5346,8294,3700,400,87,15.3,5015,PRIVATE
MO,1576,1110,274,992,112,8000,3700,400,51,14.1,5807,PRIVATE
MO,700,650,314,1065,48,8730,3523,500,82,13.2,9303,PRIVATE
MO,291,245,126,981,337,8390,4100,350,45,21.5,4607,PRIVATE
PA,2740,2497,1188,4828,605,7844,2924,550,61,19.2,5556,PUBLIC
RI,12586,3239,1462,5643,349,19528,5926,720,99,7.6,20440,PRIVATE
RI,2198,1786,632,2556,1004,12600,6410,500,84,19,8353,PRIVATE
RI,5139,3346,973,3717,1358,14400,6200,450,66,18.4,8135,PRIVATE
RI,2310,1767,1030,4882,2706,6694,5137,500,74,15.7,6827,PUBLIC
